0	0	0	0	0	0	0	17,14285714	42,85714286	62,85714286	54,28571429
82,85714286	94,28571429	91,42857143	97,14285714	97,14285714	97,14285714	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100
