0	0	0	0	0	0	0	17,14285714	42,85714286	62,85714286	54,28571429
5,714285714	8,571428571	20	20	22,85714286	45,71428571	68,57142857	85,71428571	91,42857143	88,57142857	100
14,28571429	31,42857143	31,42857143	37,14285714	54,28571429	80	82,85714286	97,14285714	97,14285714	100	100
28,57142857	40	28,57142857	57,14285714	54,28571429	82,85714286	91,42857143	100	100	100	100
25,71428571	42,85714286	57,14285714	60	77,14285714	91,42857143	94,28571429	94,28571429	100	100	100
34,28571429	42,85714286	57,14285714	77,14285714	77,14285714	85,71428571	94,28571429	100	100	100	100
25,71428571	37,14285714	60	65,71428571	74,28571429	94,28571429	94,28571429	100	100	100	100
37,14285714	37,14285714	51,42857143	71,42857143	80	85,71428571	97,14285714	100	100	100	100
34,28571429	48,57142857	57,14285714	68,57142857	82,85714286	88,57142857	97,14285714	100	100	97,14285714	100
40	37,14285714	65,71428571	62,85714286	82,85714286	85,71428571	94,28571429	97,14285714	100	100	100
40	42,85714286	65,71428571	85,71428571	88,57142857	94,28571429	100	100	100	100	100
